model_name,model_family,split,horizon,MAE,RMSE,R2,sMAPE,WAPE,MASE,Bias
BiLSTM,sequence,test,1,85.18018171522353,115.78945925397251,0.7523674694559932,57.19771380867651,36.43755811101943,0.8688263479840035,20.560178968641495
BiLSTM,sequence,test,2,90.03523551093207,113.608691854061,0.754683042769345,64.81506218900547,35.14990913029278,0.9183472409153395,21.73620393541124
BiLSTM,sequence,test,3,90.988951365153,114.406290066775,0.7748722550588665,47.75096875335759,31.602292448296044,0.928075013807483,11.092706044514975
BiLSTM,sequence,test,4,89.22224299112956,113.4352767857777,0.7688640408122186,51.172891371169406,30.110975016229926,0.9100548270263927,11.70548544989692
BiLSTM,sequence,test,5,84.60905329386394,111.88998382447073,0.7911222076042898,49.47229567237761,29.913231919365714,0.8630009152299544,5.839221954345703
BiLSTM,sequence,test,6,80.77998479207356,109.22836021938227,0.7780288017815566,76.19924853082902,33.02961508189849,0.8239449337140504,16.332564883761936
BiLSTM,sequence,test,7,77.94326400756836,111.76129973393077,0.7340315292361167,61.646206069362506,37.323865339626295,0.7950107648754379,22.093790266248917
BiLSTM,sequence,test,8,66.48346837361653,95.96920076252897,0.8105355080178942,63.20863265640582,34.450838360679526,0.6781223973138794,6.521422068277995
BiLSTM,sequence,validation,1,55.75302187601725,82.96539693480327,0.8696274396286695,67.98871349498657,24.963166396227415,0.566988806667467,17.198437372843426
BiLSTM,sequence,validation,2,60.103214263916016,85.22931853328097,0.8638423897905266,72.79012773038795,27.081865635132903,0.6112287475315444,22.802398681640625
BiLSTM,sequence,validation,3,66.25204912821452,96.0024175874464,0.8242033977324404,72.17312102721377,29.512903503693128,0.6737602556865061,15.988378524780273
BiLSTM,sequence,validation,4,60.3755251566569,89.9873685766515,0.8482934568829267,71.9258006225737,27.57947145721689,0.6139980544304791,13.71528689066569
BiLSTM,sequence,validation,5,62.614880879720054,90.24691590596782,0.8395135899037717,77.73805227690328,29.829287464172243,0.6367715218839035,31.6763178507487
BiLSTM,sequence,validation,6,56.67395464579264,78.79480060388802,0.8642196190659167,70.17899259472144,27.613757953358217,0.5763543720590091,32.52425448099772
BiLSTM,sequence,validation,7,60.232884089152016,83.94122114787164,0.8588320687350993,83.66387319839271,28.553391799765343,0.6125474444738346,28.99497922261556
BiLSTM,sequence,validation,8,69.62689208984375,97.25062161786234,0.8035028889587504,76.68225502004495,33.94193102843284,0.708081232722683,39.565938313802086
ElasticNet,tabular,test,1,96.2103057832697,119.50601658147686,0.7362155516923636,96.84723980007577,41.15591889935216,0.9813321236101934,31.314355967474498
ElasticNet,tabular,test,2,94.78027082119952,112.68971107870264,0.7586357287347599,75.63324936953832,37.00237932829647,0.9667459601556626,27.41575505000981
ElasticNet,tabular,test,3,92.15717186019607,118.1616952926212,0.7598499701150565,62.83775762785275,32.0080391417924,0.9399907050623062,13.0396468911476
ElasticNet,tabular,test,4,98.45965706867729,122.03910660101052,0.7324719720264004,53.730979338906714,33.22844394298845,1.004275202895554,32.268127201372366
ElasticNet,tabular,test,5,97.01128484110086,127.9974904599031,0.7266539794475924,72.01697721903285,34.2979974616658,0.9895020018097223,-1.1301314566046181
ElasticNet,tabular,test,6,84.7631566211607,112.47485863239721,0.764637805498961,66.97894693942135,34.658269237207044,0.8645727483532395,27.25584030708245
ElasticNet,tabular,test,7,87.31416515737037,122.04139425980553,0.6828522897117211,72.92418124687995,41.8112098646989,0.8905926908511427,46.44680729824668
ElasticNet,tabular,test,8,78.99477404618956,101.00029283291914,0.790149828493415,82.45389801770442,40.93402894202485,0.8057360252391464,35.60099866292684
ElasticNet,tabular,validation,1,68.25593013554901,92.57007021842638,0.8376944296659977,73.82054151458762,30.561287148515976,0.6941390273265222,41.99770300302001
ElasticNet,tabular,validation,2,73.00429106474303,101.80496263734908,0.805731753687403,84.87676119950386,32.89495233039908,0.7424282035232344,39.88922280018281
ElasticNet,tabular,validation,3,69.86792375768364,92.04779820092736,0.8383882328484398,77.0312775783549,31.123645068392634,0.7105324408028749,36.81491337982303
ElasticNet,tabular,validation,4,78.60633053389759,99.40091381347939,0.8148933615254765,65.6617293436955,35.907282147081276,0.7993989930274049,44.39512176847097
ElasticNet,tabular,validation,5,94.87315364956669,113.25265343303039,0.747262128323763,86.95536795305077,45.196899979064284,0.9648269163269563,61.76972213012299
ElasticNet,tabular,validation,6,89.07862921040685,109.8328315229661,0.7361808673707251,85.72799514921344,43.40257640658565,0.905898621744632,73.75244550429358
ElasticNet,tabular,validation,7,82.79355778342241,98.73245865381915,0.8046985734652862,86.47806012678417,39.24827566651411,0.8419816352155377,70.12819468930938
ElasticNet,tabular,validation,8,89.04996884758636,111.83301127883185,0.7401567347949056,76.72487840574257,43.410351201124904,0.905607155840768,70.11256321807876
ExtraTrees,tabular,test,1,68.61323166331029,98.18972880772682,0.8219254860568657,49.44576665942402,29.35070806363351,0.6998456951960241,21.562577983275144
ExtraTrees,tabular,test,2,72.15091128368678,90.79159146392955,0.8433264408346249,49.96491576733628,28.16783878195144,0.7359295494801694,20.582285196411732
ExtraTrees,tabular,test,3,63.13074097410174,92.5301792092997,0.8527361924602403,46.06845973342603,21.926575950212833,0.6439250307005403,19.746577340425922
ExtraTrees,tabular,test,4,62.905013631305714,88.62876935185285,0.8589020555659047,43.28825893374128,21.229362171379403,0.6416226422936069,14.53705736960636
ExtraTrees,tabular,test,5,60.07828037559594,87.85713364834459,0.8712154080047176,46.93518870000923,21.240464047028414,0.612790344899666,10.70833578734858
ExtraTrees,tabular,test,6,63.57170031406676,93.89465226689187,0.8359759585000532,56.95543095866131,25.993429140437723,0.6484227564066452,16.28240729319578
ExtraTrees,tabular,test,7,66.40285550645312,101.2628637324249,0.7816527787193568,61.93604227149622,31.797632402389507,0.6773001569574046,18.599677444483298
ExtraTrees,tabular,test,8,54.20446002477652,90.58214170519835,0.8312090209457892,65.02733051049651,28.088021799311154,0.5528781707136783,15.21608620089951
ExtraTrees,tabular,validation,1,78.69610481972842,116.9424889674123,0.7409778494946961,75.18865606458859,35.235828624549555,0.8003119662345943,31.069078071124384
ExtraTrees,tabular,validation,2,74.6944186077696,109.30883590079856,0.7760379363606629,71.61240703304306,33.656505715128866,0.7596162117511556,30.4298512467396
ExtraTrees,tabular,validation,3,77.3930323215666,108.07979713516275,0.7771897265328405,68.84754754483052,34.475810059808424,0.7870601729528425,25.741549578893316
ExtraTrees,tabular,validation,4,78.05408933662083,111.85378902810483,0.7656080776730004,67.88546625731317,35.655018997928074,0.7937828924663831,33.158445716764604
ExtraTrees,tabular,validation,5,72.72167632784853,105.60386833726916,0.7802478130430531,68.0659853770813,34.64409271605012,0.7395541101193864,36.51428287948851
ExtraTrees,tabular,validation,6,69.28883253638726,100.76914913962867,0.7779263087947703,66.27503158740248,33.760216955969156,0.7046432848528243,43.4202806808867
ExtraTrees,tabular,validation,7,67.37734237816285,98.42748585550409,0.805903235721228,67.80543382497304,31.94022069027128,0.6852040959568684,25.9011371859233
ExtraTrees,tabular,validation,8,67.90501210861548,97.8776058489219,0.8009610361905627,66.15299038359268,33.1025430115188,0.6905703132616308,35.206345419977396
GRU,sequence,test,1,83.17977099948459,112.58460722181222,0.7658858420489993,70.7480215937984,35.58184167284216,0.8484224288842053,22.127960628933376
GRU,sequence,test,2,76.61583836873372,101.83493932022694,0.802894805942189,46.48049073492389,29.9109536540858,0.7814712026581984,19.071464114718967
GRU,sequence,test,3,84.94958877563477,111.24654912580739,0.7871359544198697,56.66556093601236,29.504700379240195,0.8664743311469932,28.625202178955078
GRU,sequence,test,4,79.75205188327365,108.54449112987801,0.7883653276006124,38.18413926020565,26.914948125537187,0.813460156889894,22.561023712158203
GRU,sequence,test,5,73.64729012383356,102.77805789642059,0.8237574935200515,51.26111438563541,26.03773927188965,0.7511924115298392,8.725869496663412
